Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Certamen 1
0:38:00,0,0,0,0,1,1,1,0,0,1,1,0,12,5,41.67,20
0:39:00,0,1,1,,1,0,1,0,0,0,1,0,11,5,41.67,35
0:39:00,1,1,0,0,0,0,1,1,0,1,0,0,12,5,41.67,27
0:39:00,0,0,1,0,0,1,1,0,0,1,1,0,12,5,41.67,19
0:39:00,1,1,0,0,0,0,1,1,0,1,0,0,12,5,41.67,22
0:39:00,1,0,0,0,1,0,1,0,1,0,1,0,12,5,41.67,60
0:39:00,1,0,0,0,1,0,1,1,1,0,0,0,12,5,41.67,
0:40:00,1,0,0,0,0,0,1,1,0,1,1,0,12,5,41.67,22
0:40:00,1,0,1,0,0,1,1,0,0,0,0,1,12,5,41.67,9
0:41:00,0,0,0,0,0,1,1,1,0,1,1,0,12,5,41.67,32
0:41:00,1,0,0,0,0,0,1,0,1,1,1,0,12,5,41.67,
0:42:00,0,0,0,0,1,1,1,0,0,0,1,1,12,5,41.67,19
0:42:00,0,0,1,0,1,0,1,1,1,0,0,0,12,5,41.67,
0:42:00,1,0,1,0,1,0,1,1,0,0,0,0,12,5,41.67,27
0:42:00,0,0,0,0,1,1,1,0,0,1,0,1,12,5,41.67,
0:43:00,0,0,0,,1,1,1,0,,1,1,0,10,5,41.67,79
0:43:00,0,0,0,0,0,1,1,1,0,1,1,0,12,5,41.67,59
0:43:00,1,0,0,0,0,1,0,1,0,0,1,1,12,5,41.67,49
0:43:00,0,0,0,0,1,0,0,1,1,0,1,1,12,5,41.67,81
0:43:00,0,0,1,0,1,1,1,0,0,0,1,0,12,5,41.67,36
0:43:00,1,0,0,0,1,1,1,0,0,1,0,0,12,5,41.67,19
0:44:00,0,0,1,0,1,0,1,1,0,0,1,0,12,5,41.67,20
0:44:00,0,0,0,0,1,0,0,1,0,1,1,1,12,5,41.67,21
0:44:00,1,0,1,0,1,0,0,1,0,1,0,0,12,5,41.67,33
0:44:00,1,0,0,0,0,0,1,1,0,1,0,1,12,5,41.67,0
0:44:00,0,0,1,0,0,0,1,1,0,1,1,0,12,5,41.67,64
0:44:00,0,1,0,0,0,1,1,1,0,0,1,0,12,5,41.67,80
0:45:00,0,0,1,0,0,0,1,0,0,1,1,1,12,5,41.67,50
0:45:00,0,1,1,0,1,0,0,0,0,1,1,0,12,5,41.67,90
0:46:00,0,0,0,0,1,1,0,0,1,1,1,0,12,5,41.67,25
0:47:00,0,0,0,1,1,1,1,1,,0,0,0,11,5,41.67,69
0:47:00,1,0,0,0,1,0,0,1,1,1,0,0,12,5,41.67,39
0:50:00,1,0,0,0,1,0,1,0,1,1,0,0,12,5,41.67,2
0:51:00,1,0,1,0,1,0,0,0,0,1,0,1,12,5,41.67,44
