Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Puntaje Ponderado,Puntaje NEM,Puntaje Ranking,Puntaje Lenguaje,Puntaje Matemática M1,Puntaje Matemática M2,Certamen 1,Abstracción,Descomposición,Patrones,Algoritmos,Aprobación C1,Nota Final,Aprobación Asignatura
0:53:00,0,0,0,,0,0,1,1,0,,0,0,10,2,16.67,653.1,870,934,683,499,418,15,0,33.33333333,33.33333333,16.66666667,0,13,0
0:47:00,0,0,0,0,1,0,1,,,,,,7,2,16.67,716.3,856,967,725,558,558,59,33.33333333,0,33.33333333,16.66666667,1,71,1
0:47:00,1,1,0,0,0,0,,,,,,,6,2,16.67,,,,,,,49,33.33333333,0,0,50,0,76,1
0:38:00,0,1,0,0,1,,,,,,,,5,2,16.67,711.6,851,926,834,609,399,33,33.33333333,0,0,50,0,45,0
0:16:00,0,0,0,0,0,1,0,0,0,1,1,0,12,3,25.00,,,,,,,38,33.33333333,33.33333333,33.33333333,0,0,43,0
0:18:00,0,0,0,0,0,1,0,1,0,1,0,0,12,3,25.00,594.9,694,697,674,499,351,,0,66.66666667,33.33333333,0,0,0,0
0:22:00,1,0,0,0,0,0,1,0,0,1,0,0,12,3,25.00,0,0,0,0,0,0,19,33.33333333,33.33333333,33.33333333,0,0,20,0
0:23:00,0,0,0,0,1,0,0,0,0,1,1,0,12,3,25.00,,,,,,,41,66.66666667,33.33333333,0,0,0,65,1
0:29:00,0,1,1,0,0,0,1,0,0,0,0,0,12,3,25.00,646.8,823,840,701,554,483,25,0,0,33.33333333,66.66666667,0,69,1
0:36:00,0,0,1,1,0,0,1,0,0,0,0,0,12,3,25.00,552.7,608,612,674,526,378,15,0,0,33.33333333,66.66666667,0,13,0
0:37:00,1,0,0,0,1,0,0,0,1,0,0,0,12,3,25.00,,,,,,,,66.66666667,0,33.33333333,0,0,0,0
0:40:00,0,1,0,0,0,0,1,0,0,0,1,0,12,3,25.00,,,,,,,31,33.33333333,0,33.33333333,33.33333333,0,51,0
0:42:00,1,0,1,0,0,0,0,0,0,0,0,1,12,3,25.00,587,667,718,692,526,399,42,33.33333333,33.33333333,0,33.33333333,0,46,0
0:45:00,0,0,1,0,1,0,0,0,0,0,0,1,12,3,25.00,632.9,879,991,663,402,493,,33.33333333,33.33333333,0,33.33333333,0,24,0
0:45:00,0,1,0,0,0,0,1,0,0,1,0,0,12,3,25.00,553.9,594,594,664,522,522,0,0,33.33333333,33.33333333,33.33333333,0,0,0
0:46:00,0,0,1,0,0,0,1,0,0,0,1,0,12,3,25.00,712.2,937,1000,633,601,472,97,33.33333333,0,33.33333333,33.33333333,1,81,1
0:46:00,1,0,1,0,0,0,1,0,0,0,0,0,12,3,25.00,,,,,,,,33.33333333,0,33.33333333,33.33333333,0,0,0
0:51:00,0,0,0,0,0,1,1,1,0,0,0,0,12,3,25.00,735.7,956,967,891,601,413,12,0,33.33333333,66.66666667,0,0,14,0
0:56:00,0,0,1,0,0,0,1,1,0,0,0,0,12,3,25.00,637.7,871,988,606,467,428,13,0,33.33333333,33.33333333,33.33333333,0,7,0
0:58:00,0,0,1,0,1,1,0,0,0,0,0,0,12,3,25.00,619.6,699,698,619,619,468,0,33.33333333,0,33.33333333,33.33333333,0,0,0
1:02:00,0,0,0,0,0,0,1,0,0,1,1,0,12,3,25.00,766.6,951,983,745,671,385,17,33.33333333,33.33333333,33.33333333,0,0,16,0
0:29:00,0,0,0,0,0,0,1,1,1,0,,,10,3,25.00,543.6,628,628,606,491,332,6,0,33.33333333,66.66666667,0,0,3,0
0:45:00,0,0,0,1,1,0,1,0,0,0,,,10,3,25.00,724.8,856,864,692,681,493,91,33.33333333,0,33.33333333,33.33333333,1,93,1
0:43:00,0,1,,0,0,0,0,1,,,1,0,9,3,25.00,641.3,743,779,663,579,516,0,33.33333333,33.33333333,0,33.33333333,0,0,0
0:43:00,0,0,1,0,0,0,1,0,,1,,,9,3,25.00,,,,,,,14,0,33.33333333,33.33333333,33.33333333,0,7,0
0:29:00,1,0,1,0,1,0,0,0,0,,,,9,3,25.00,688.3,870,905,633,601,547,0,66.66666667,0,0,33.33333333,0,3,0
0:43:00,0,0,1,0,0,0,1,1,0,,,,9,3,25.00,646.7,724,772,606,659,444,,0,33.33333333,33.33333333,33.33333333,0,27,0
1:04:00,0,1,1,,0,0,0,0,,1,,,8,3,25.00,802.5,837,843,834,877,569,82,0,33.33333333,0,66.66666667,1,76,1
0:43:00,0,0,,0,1,1,1,0,,0,,,8,3,25.00,673.1,893,959,619,526,413,,33.33333333,0,66.66666667,0,0,73,1
0:47:00,1,0,0,0,0,1,1,,,,,,7,3,25.00,647.1,708,720,701,671,385,,33.33333333,0,66.66666667,0,0,0,0
0:45:00,0,0,,0,1,,1,1,0,,,,7,3,25.00,723.4,907,924,788,631,413,39,33.33333333,33.33333333,33.33333333,0,0,65,1
0:53:00,0,,1,,0,0,1,1,,,,,6,3,25.00,473.5,473,473,582,491,399,1,0,33.33333333,33.33333333,33.33333333,0,1,0
0:34:00,0,1,1,,0,,1,,,,,,5,3,25.00,646.8,801,886,710,494,494,,0,0,33.33333333,66.66666667,0,42,0
0:39:00,0,1,1,0,1,,,,,,,,5,3,25.00,578,650,650,619,588,332,0,33.33333333,0,0,66.66666667,0,3,0
0:46:00,,,,,,,0,0,1,,1,1,5,3,25.00,0,722,720,663,526,414,0,33.33333333,33.33333333,33.33333333,0,0,0,0
0:51:00,1,1,1,,,,,,,,,,3,3,25.00,638.6,837,838,663,554,332,79,33.33333333,0,0,66.66666667,1,86,1
0:33:00,0,0,0,0,0,0,1,1,0,0,0,1,12,3,25.00,653.2,799,865,596,601,369,,0,66.66666667,33.33333333,16.66666667,0,5,0
0:36:00,0,1,0,0,0,1,0,0,0,1,0,0,12,3,25.00,0,922,1000,729,579,447,,0,33.33333333,33.33333333,50,0,30,0
0:39:00,0,0,0,0,0,0,0,0,1,0,1,1,12,3,25.00,634.3,870,1000,596,467,385,14,33.33333333,33.33333333,33.33333333,16.66666667,0,7,0
0:40:00,0,0,0,0,0,0,1,0,0,1,0,1,12,3,25.00,736.4,870,945,714,715,399,26,0,66.66666667,33.33333333,16.66666667,0,47,0
0:41:00,1,0,0,0,0,0,1,0,0,1,0,0,12,3,25.00,655.4,859,908,633,539,428,22,33.33333333,33.33333333,33.33333333,16.66666667,0,25,0
0:43:00,0,0,0,0,1,0,1,0,0,0,1,0,12,3,25.00,,,,,,,19,66.66666667,0,33.33333333,16.66666667,0,25,0
0:43:00,1,0,0,0,0,0,1,0,0,1,0,0,12,3,25.00,,,,,,,22,33.33333333,33.33333333,33.33333333,16.66666667,0,13,0
0:45:00,1,0,0,0,1,1,0,0,0,0,0,0,12,3,25.00,557.4,664,668,481,520,520,8,66.66666667,0,33.33333333,16.66666667,0,14,0
0:47:00,0,0,0,0,0,0,1,1,0,1,0,0,12,3,25.00,649.6,823,970,674,526,369,6,0,66.66666667,33.33333333,16.66666667,0,17,0
0:50:00,0,0,0,0,0,1,1,0,0,1,0,0,12,3,25.00,731.3,785,788,649,814,459,17,0,33.33333333,66.66666667,16.66666667,0,42,0
0:55:00,0,0,0,0,1,1,0,0,0,1,0,0,12,3,25.00,643.2,828,848,596,567,483,26,33.33333333,33.33333333,33.33333333,16.66666667,0,36,0
0:57:00,0,1,0,0,0,1,1,0,0,0,0,0,12,3,25.00,629.8,815,965,606,480,369,,0,0,66.66666667,50,0,0,0
0:58:00,0,0,0,0,0,0,1,0,1,0,0,1,12,3,25.00,652.6,771,794,649,567,468,1,0,33.33333333,66.66666667,16.66666667,0,3,0
0:58:00,0,0,0,0,0,1,1,1,0,0,0,0,12,3,25.00,718.8,914,961,633,671,313,8,0,33.33333333,66.66666667,16.66666667,0,4,0
0:58:00,0,0,0,0,1,0,1,0,0,1,0,0,12,3,25.00,735.2,851,896,834,704,413,8,33.33333333,33.33333333,33.33333333,16.66666667,0,50,0
0:40:00,0,1,0,0,0,0,0,1,1,0,0,0,12,3,25.00,663.1,814,817,701,619,399,,0,33.33333333,33.33333333,50,0,2,0
0:32:00,0,0,0,,1,0,1,0,0,1,0,0,11,3,25.00,629.3,685,694,663,659,428,2,33.33333333,33.33333333,33.33333333,16.66666667,0,14,0
0:52:00,0,1,0,,0,0,1,0,0,0,1,0,11,3,25.00,554.1,613,613,619,567,351,11,33.33333333,0,33.33333333,50,0,6,0
0:56:00,0,1,0,0,0,0,0,1,,0,0,1,11,3,25.00,731.9,907,922,649,681,332,63,0,66.66666667,0,50,1,78,1
1:04:00,0,0,0,0,1,0,,1,0,1,0,0,11,3,25.00,653.1,843,929,649,554,351,5,33.33333333,66.66666667,0,16.66666667,0,20,0
0:43:00,0,0,0,0,0,0,1,0,0,1,1,,11,3,25.00,0,823,860,619,526,0,,33.33333333,33.33333333,33.33333333,16.66666667,0,2,0
0:50:00,0,1,0,,0,0,,1,0,0,1,0,10,3,25.00,,,,,,,13,33.33333333,33.33333333,0,50,0,11,0
1:06:00,1,0,0,0,0,0,1,1,0,,,,9,3,25.00,,,,,,,15,33.33333333,33.33333333,33.33333333,16.66666667,0,8,0
0:58:00,,0,0,0,1,0,1,0,0,,1,,9,3,25.00,665.1,808,859,649,588,413,64,66.66666667,0,33.33333333,16.66666667,1,70,1
0:30:00,0,0,0,0,1,0,1,1,,,,,8,3,25.00,639.4,599,599,714,743,472,5,33.33333333,33.33333333,33.33333333,16.66666667,0,3,0
0:43:00,0,0,0,0,1,1,1,,,,,,7,3,25.00,504,613,622,633,424,292,9,33.33333333,0,66.66666667,16.66666667,0,11,0
0:51:00,1,1,0,0,1,,,,,,0,,6,3,25.00,862.1,937,951,788,949,609,59,66.66666667,0,0,50,1,75,1
0:42:00,1,1,0,0,1,0,,,,,,,6,3,25.00,645.4,680,693,729,688,413,,66.66666667,0,0,50,0,1,0
0:43:00,1,1,0,1,0,0,,,,,,,6,3,25.00,0,914,922,729,609,369,,33.33333333,0,0,83.33333333,0,33,0
0:27:00,1,0,1,0,0,0,1,0,0,0,1,0,12,4,33.33,637.7,680,677,714,631,505,,66.66666667,0,33.33333333,33.33333333,0,16,0
0:34:00,0,0,1,0,1,0,1,1,0,0,0,0,12,4,33.33,775.4,893,954,816,659,444,5,33.33333333,33.33333333,33.33333333,33.33333333,0,3,0
0:34:00,1,0,0,0,0,1,0,0,0,0,1,1,12,4,33.33,731.2,942,1000,775,588,472,,66.66666667,33.33333333,33.33333333,0,0,74,1
0:35:00,0,0,1,0,0,1,1,0,0,1,0,0,12,4,33.33,0,823,876,596,0,385,,0,33.33333333,66.66666667,33.33333333,0,2,0
0:39:00,0,0,1,0,0,0,1,1,0,0,1,0,12,4,33.33,747.3,985,1000,745,645,504,8,33.33333333,33.33333333,33.33333333,33.33333333,0,72,1
0:40:00,1,0,1,0,1,0,0,1,0,0,0,0,12,4,33.33,,,,,,,10,66.66666667,33.33333333,0,33.33333333,0,58,1
0:42:00,0,0,1,0,0,1,1,0,0,1,0,0,12,4,33.33,642.5,865,928,674,467,413,,0,33.33333333,66.66666667,33.33333333,0,0,0
0:43:00,1,1,0,0,0,0,1,0,0,1,0,0,12,4,33.33,,,,,,,34,33.33333333,33.33333333,33.33333333,33.33333333,0,35,0
0:43:00,0,0,1,0,0,0,1,0,1,0,1,0,12,4,33.33,,,,,,,54,33.33333333,0,66.66666667,33.33333333,0,27,0
0:44:00,1,0,0,0,1,0,0,1,1,0,0,0,12,4,33.33,,,,,,,45,66.66666667,33.33333333,33.33333333,0,0,65,1
